iter	Logloss
0	0.6585165354
1	0.6328470961
2	0.6096315388
3	0.5843276148
4	0.565603659
5	0.5497087363
6	0.5364450138
7	0.5228193325
8	0.5120828724
9	0.5005623962
10	0.4921496829
11	0.4854243866
12	0.4801471059
13	0.474480876
14	0.4680565006
15	0.4626106449
16	0.4568342037
17	0.4530348979
18	0.4486750505
19	0.4450810104
20	0.4419824178
21	0.4385573532
22	0.4348022411
23	0.4321405782
24	0.4296969604
25	0.4274264217
26	0.425439958
27	0.4235794677
28	0.4212741405
29	0.4199326114
30	0.4180931525
31	0.4165809832
32	0.4151760257
33	0.4140962865
34	0.4128190235
35	0.4118145399
36	0.4108726887
37	0.4098888606
38	0.4085308765
39	0.4076331767
40	0.4068192349
41	0.4058673005
42	0.404672719
43	0.4040345201
44	0.4034295513
45	0.4027977292
46	0.4021111917
47	0.4013178907
48	0.4004889363
49	0.3998774661
50	0.3992894198
51	0.3987065187
52	0.3982503632
53	0.3977694962
54	0.3972753826
55	0.3965796169
56	0.3959348013
57	0.3952026714
58	0.3948280384
59	0.3942195065
60	0.3938871298
61	0.3935566342
62	0.3930505088
63	0.3925489166
64	0.3922357671
65	0.3917844796
66	0.3911115778
67	0.3903708667
68	0.3898832337
69	0.3894041827
70	0.3889559587
71	0.3887391663
72	0.388313437
73	0.3880135164
74	0.3877021533
75	0.3872709059
76	0.3867138063
77	0.3863960103
78	0.3862684492
79	0.3858752091
80	0.3856423815
81	0.3852053581
82	0.3848531363
83	0.3843786204
84	0.3839681924
85	0.3835139318
86	0.38323682
87	0.3829021383
88	0.3825755167
89	0.3823804578
90	0.3821479886
91	0.3817800681
92	0.381491433
93	0.381223898
94	0.3809572799
95	0.3806849127
96	0.3803203478
97	0.3798840817
98	0.379598491
99	0.3793497897
100	0.3789942146
101	0.3785296503
102	0.3780777399
103	0.3777219653
104	0.3774969752
105	0.3771008664
106	0.3768348931
107	0.3765250654
108	0.3759937189
109	0.3756405044
110	0.3752896845
111	0.3750611479
112	0.3747732134
113	0.3744347275
114	0.3742100297
115	0.3741609681
116	0.3739853809
117	0.3737264031
118	0.3734469841
119	0.3734073612
120	0.373163407
121	0.3730745213
122	0.3727897615
123	0.3727113032
124	0.3724280395
125	0.3722363221
126	0.3717902913
127	0.3715917122
128	0.3713152582
129	0.3710374462
130	0.3705524702
131	0.3704497626
132	0.3703873454
133	0.3699072237
134	0.3695800672
135	0.369326245
136	0.3689908208
137	0.3688216708
138	0.3684861485
139	0.3683496687
140	0.3680207413
141	0.3677604695
142	0.3673238385
143	0.3669644732
144	0.3667630659
145	0.3665192302
146	0.3661153874
147	0.3656386997
148	0.3652733671
149	0.3649161436
150	0.3647488164
151	0.364482182
152	0.3642119795
153	0.3641322403
154	0.3638451931
155	0.36339194
156	0.3630494936
157	0.3627816614
158	0.3625139511
159	0.3623498401
160	0.3620509781
161	0.3617432144
162	0.3614314296
163	0.3610791082
164	0.3607623919
165	0.3604068069
166	0.3604036816
167	0.3599861504
168	0.3595806242
169	0.3592354117
170	0.3585991004
171	0.3582372312
172	0.3580886468
173	0.3576337014
174	0.3572097038
175	0.3569227062
176	0.3565512845
177	0.3563334041
178	0.3559602885
179	0.3555574931
180	0.3553021871
181	0.3550610467
182	0.3546858976
183	0.3543106361
184	0.3540597189
185	0.3537069739
186	0.3532724102
187	0.3529780639
188	0.3525517983
189	0.3522603974
190	0.3518160797
191	0.351663475
192	0.3513206087
193	0.3511019751
194	0.350820951
195	0.350672024
196	0.3503447089
197	0.3501107754
198	0.3498558219
199	0.3495255646
200	0.3492742189
201	0.348955184
202	0.3485704688
203	0.3483204233
204	0.3480990663
205	0.3478385848
206	0.3475743014
207	0.347221954
208	0.3467607748
209	0.3464882283
210	0.3462713503
211	0.3459470508
212	0.345570104
213	0.345258594
214	0.3449810556
215	0.344567711
216	0.3442805893
217	0.3439987179
218	0.3437892012
219	0.3435405444
220	0.3432517322
221	0.3430542519
222	0.3428676375
223	0.3427516974
224	0.342447578
225	0.342226978
226	0.3419057235
227	0.3416248066
228	0.3413475124
229	0.3411424736
230	0.3407886213
231	0.340568632
232	0.3404700878
233	0.3402498374
234	0.3398788773
235	0.339707555
236	0.3395564777
237	0.3393622443
238	0.3390415082
239	0.3389115071
240	0.338715994
241	0.3383514976
242	0.3380792038
243	0.3377096514
244	0.3374630585
245	0.3372259421
246	0.3368787121
247	0.3366074019
248	0.3361971391
249	0.3360006962
250	0.3357364565
251	0.3355678996
252	0.3351751409
253	0.3347401211
254	0.334543148
255	0.3343775974
256	0.334068523
257	0.3338379989
258	0.333641015
259	0.3333760749
260	0.3333134469
261	0.3329844084
262	0.3327184923
263	0.3325082574
264	0.3322538505
265	0.3319523887
266	0.3316492839
267	0.3315104816
268	0.3312814802
269	0.331184117
270	0.3309489661
271	0.3305771919
272	0.3304741268
273	0.3301765309
274	0.3299346285
275	0.3295683788
276	0.3293376418
277	0.3292464088
278	0.3290516833
279	0.3289104418
280	0.3287432807
281	0.3284478022
282	0.3281523943
283	0.327979901
284	0.3277236054
285	0.3276456509
286	0.3274367367
287	0.3271542049
288	0.3270273913
289	0.3268008251
290	0.3265437026
291	0.3263214652
292	0.3260308979
293	0.3259371469
294	0.325502587
295	0.3252215182
296	0.3250177642
297	0.324775649
298	0.3244249501
299	0.3241723207
